Aktywny (0 lub 1);Nazwa*;Kategorie (x,y,z...);Cena zawiera podatek. (brutto);ID reguły podatku;Ilość;Dostępne do zamówienia (0 = Nie, 1 = Tak);Pokaż cenę (0 = Nie, 1 = Tak);Adresy URL zdjęcia (x,y,z...)
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 16GB/1TB WiFi Srebrny";Smartfony i smartwatche/Tablety;7499.00;1;9;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 12/256GB WiFi Srebrny";Smartfony i smartwatche/Tablety;5299.00;1;10;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 12/256GB 5G Srebrny";Smartfony i smartwatche/Tablety;6299.00;1;10;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 12/512GB WiFi Srebrny";Smartfony i smartwatche/Tablety;6299.00;1;9;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-srebrny/1351885_2.jpg
1;OnePlus Pad 3 WiFi 12/256GB Storm Blue 144Hz;Smartfony i smartwatche/Tablety;2799.00;1;2;1;1;http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_2.jpg,http://localhost/import-images/oneplus-pad-3-wifi-12-256gb-storm-blue-144hz/1340381_2.jpg
1;OnePlus Pad 3 WiFi 16/512GB Storm Blue 144Hz;Smartfony i smartwatche/Tablety;2999.00;1;10;1;1;http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_2.jpg,http://localhost/import-images/oneplus-pad-3-wifi-12-256gb-storm-blue-144hz/1340381_2.jpg
1;"Samsung Galaxy Tab S11 Ultra 14,6"" 12/512GB WiFi Szary";Smartfony i smartwatche/Tablety;6299.00;1;5;1;1;http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_1.jpg,http://localhost/import-images/samsung-galaxy-tab-s11-ultra-146-16gb-1tb-wifi-szary/1351878_2.jpg
1;"OUKITEL RT3 Pro LTE 8"" 4/128GB Green Rugged";Smartfony i smartwatche/Tablety;749.00;1;8;1;1;http://localhost/import-images/oukitel-rt3-pro-lte-8-4-128gb-green-rugged/1340606_1.jpg,http://localhost/import-images/oukitel-rt3-pro-lte-8-4-128gb-green-rugged/1340606_2.jpg
1;Huawei MatePad 11,5 2025 PaperMatte 256GB Grey +Keyboard;Smartfony i smartwatche/Tablety;1499.00;1;7;1;1;http://localhost/import-images/huawei-matepad-115-2025-papermatte-256gb-grey-keyboard/1355843_1.jpg,http://localhost/import-images/huawei-matepad-115-2025-papermatte-256gb-grey-keyboard/1355843_2.jpg
1;OnePlus Pad 3 WiFi 16/512GB Storm Blue 144Hz + Klawiatura;Smartfony i smartwatche/Tablety;3499.00;1;10;1;1;http://localhost/import-images/oneplus-pad-3-wifi-12-256gb-storm-blue-144hz-klawiatura/1340384_1.jpg,http://localhost/import-images/oneplus-pad-3-wifi-16-512gb-storm-blue-144hz-rysik/1340386_2.jpg
